In-Channel Modification,-24.858364,151.10663,0.348045379,1622.618004,1.014995675,7,3,666,1,0
In-Channel Modification,-24.819166,151.096769,0.362373263,1622.618004,1.114457692,15,7,664,1,0
In-Channel Modification,-24.893695,151.123261,0.394776255,1622.618004,1.014995675,3,3,642,1,0
In-Channel Modification,-24.979351,151.123473,0.300421357,1622.618004,0.896706975,5,3,614,1,0
In-Channel Modification,-25.0189,151.092984,0.697026312,1841.774429,0.896706975,15,10,626,1,0
In-Channel Modification,-27.4975507,152.3359946,3.248001337,1795.369003,1.179808694,18,9,741,1,0
In-Channel Modification,-27.6283761,152.3785385,0.846507967,1795.369003,1.223906482,11,3,739,1,0
In-Channel Modification,-27.526693,152.374924,0.209176555,1795.369003,1.241801045,3,3,739,1,0
In-Channel Modification,-27.518374,152.405378,0.38345769,1795.369003,1.241801045,3,3,735,1,0
In-Channel Modification,-27.492619,152.437705,0.257427454,1795.369003,1.241801045,3,3,745,1,0
In-Channel Modification,-27.592346,152.142102,2.137122631,1795.369003,0.78456733,15,6,710,1,0
In-Channel Modification,-27.753397,152.3724,1.501875043,1795.369003,1.446610168,18,10,751,1,0
In-Channel Modification,-27.560482,152.256897,1.917385221,1795.369003,1.265458755,14,3,726,1,0
In-Channel Modification,-27.575796,152.216674,0.174392521,1795.369003,1.3201867,15,10,720,1,0
In-Channel Modification,-27.571747,152.156704,0.980891347,1795.369003,1.3201867,18,12,714,1,0
In-Channel Modification,-27.656814,152.161344,2.815980673,1795.369003,0.750384637,18,12,698,1,0
In-Channel Modification,-27.637178,152.331268,0.454714805,1795.369003,1.265458755,15,9,740,1,0
In-Channel Modification,-27.593005,152.235815,0.797323406,1795.369003,1.3201867,3,3,720,1,0
In-Channel Modification,-21.1971234,148.893793,1.69547236,1303.595192,3.898249652,18,18,1145,1,0
In-Channel Modification,35.213283,107.349539,16.85482407,1266.971817,0.549779988,21,21,517,1,0
In-Channel Modification,27.333514,76.218212,2.687969446,1415.593109,0.949824703,14,12,636,1,0
In-Channel Modification,27.328641,76.224669,1.780614614,1415.593109,0.949824703,16,12,636,1,0
In-Channel Modification,18.565496,73.576591,1.346103311,1103.062883,4.298141704,9,3,1832,1,0
In-Channel Modification,27.21825,76.195665,1.712957978,1415.593109,0.797788399,18,12,570,1,0
In-Channel Modification,27.255127,76.219031,3.099731207,1415.593109,0.949824703,16,12,601,1,0
In-Channel Modification,27.155505,76.224218,1.075216293,1415.593109,0.797788399,14,12,592,1,0
In-Channel Modification,11.017903,77.185017,1.513840199,897.7096272,0.850974564,16,12,771,1,0
In-Channel Modification,27.264041,76.163959,0.543656945,1415.593109,0.949824703,17,12,559,1,0
In-Channel Modification,27.140253,76.201294,2.116291285,1415.593109,0.77025127,16,12,578,1,0
In-Channel Modification,13.519922,79.020965,1.308565736,1054.362186,0.73869283,12,12,745,2,1
In-Channel Modification,31.635948,54.345453,1.127547979,1767.581726,0.02792179,27,27,116,1,0
In-Channel Modification,31.605405,54.333416,2.271537542,1767.581726,0.02792179,27,27,115,1,0
In-Channel Modification,31.49373,54.435217,1.871508479,1767.581726,0.117826431,27,27,108,1,0
In-Channel Modification,34.155909,-117.922022,3.378900528,2077.945999,0.772117234,21,20,367,1,0
In-Channel Modification,34.13933,-117.710946,2.166329384,2077.945999,0.713524808,20,14,376,1,0
Rainwater and Run-off Harvesting,31.56806,35.80444,5.051402569,1073.733898,0.025111249,21,21,190,1,0
In-Channel Modification,21.567778,-100.021111,3.335375071,1152.180374,0.734973325,14,12,808,1,0
In-Channel Modification,15.38153,44.331205,2.930412292,1497.322701,0.074115712,19,18,229,1,0
In-Channel Modification,40.426251,116.984759,0.502785325,580.3705902,0.91673357,21,21,504,1,0
In-Channel Modification,34.780507,117.325604,4.341920853,1023.526077,1.621461228,21,18,795,1,0
In-Channel Modification,36.645926,116.862777,0.654850006,1842.108177,1.034825662,21,21,637,1,0
In-Channel Modification,35.062794,116.131964,0.313355863,1454.825912,1.674006874,24,21,694,1,0
