FID,fid,the_geom,id,site_name,continent,country,latitude,longitude,year_opera,year_shut_,main_mar_t,specific_m,link_to_do,influent_s,final_use,main_objec,reference_
Global_MAR_Inventory.317,317,POINT (120.619761 22.52619),347,Wanglong Farm 1,Asia,Taiwan,22.52619,120.619761,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,Maximize Natural Storage,"<a href=""http://unesdoc.unesco.org/images/0014/001492/149210e.pdf"" target=""_blank"">Ting, C.-S., C. H. Lee, C. Y. Lin, S. H. Chen, and K. C. Chang. 2006. Infiltration Mechanism of Artificial Recharge of Groundwater – A Case Study at Pingtung Plain, Taiw"
Global_MAR_Inventory.318,318,POINT (120.619761 22.52619),348,Wanglong Farm 2,Asia,Taiwan,22.52619,120.619761,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,Maximize Natural Storage,"<a href=""http://unesdoc.unesco.org/images/0014/001492/149210e.pdf"" target=""_blank"">Ting, C.-S., M. K. Jean, and Y. P. Huang. 2006. Evaluation of Infiltration Velocity Changes Induced by Sediment Accumulation on the Artificial Infiltration Basin: A Case S"
Global_MAR_Inventory.319,319,POINT (100.601654 14.081453),349,Asian Institute of Technology (AIT),Asia,Thailand,14.081453,100.601654,-9999,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",Lake water,no data,Physical Aquifer Management,"<a href=""https://www.researchgate.net/publication/228418552_Field_experiment_of_artifical_recharge_through_a_well_with_reference_to_land_subsidence_control"" target=""_blank"">Phien-Wej, N., P. H. Giao, and P. Nutalaya. 1998. Field Experiment of Artificial"
Global_MAR_Inventory.320,320,POINT (99.999297 16.646433),350,Ban Nong Na (Nong Kula) 1,Asia,Thailand,16.646433,99.999297,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,Physical Aquifer Management,"<a href=""https://www.tci-thaijo.org/index.php/ennrj/article/view/71279/57823"" target=""_blank"">Nadee, S., V. Trelo-ges, P. Pavelic, and K. Srisuk. 2012. Effect of Water Quality on Infiltration Rates from the Ponding Method of Managed Aquifer Recharge: A C"
Global_MAR_Inventory.346,346,POINT (26.92 60.88),377,Kuivala,Europe,Finland,60.88,26.92,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,Domestic,Maximize Natural Storage,"Vallius, 2001. Protection of the most important groundwater intake in Finland."
Global_MAR_Inventory.321,321,POINT (99.999297 16.646433),351,Ban Nong Na (Nong Kula) 2,Asia,Thailand,16.646433,99.999297,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,Physical Aquifer Management,"<a href=""http://www.dina-mar.es/pdf/ismar7-proceedingsbook.pdf"" target=""_blank"">Nadee, S., K. Srisuk, P. Sarapirom, P. Pavelic, and S. Uppasit. 2012. Field and Laboratory Experiments to Investigate Infiltration Processes and Clogging Effects from a Pondi"
Global_MAR_Inventory.322,322,POINT (100.573651 13.999498),352,Bangpoon,Asia,Thailand,13.999498,100.573651,-9999,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",River water,no data,Other Benefits,"Ramnarong, V. 1989. Subsurface Injection of Storm Water Runoff into an Underground Storage of Bangkok. In Artificial Recharge of Groundwater: Proceedings of the International Symposium: Anaheim, California, August 23-27 1988, edited by A. I. Johnson and"
Global_MAR_Inventory.323,323,POINT (101.258063 12.753379),353,Nong Taphan,Asia,Thailand,12.753379,101.258063,-9999,-9999,"Well, Shaft and Borehole Recharge",ASR/ASTR,"<a href=""https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/"" target=""_blank"">ASR</a>/<a href=""https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/"" target=""_blank"">ASTR</a>",River water,no data,no data,"<a href=""http://www.dina-mar.es/pdf/ismar7-proceedingsbook.pdf"" target=""_blank"">Pavelic, P., P. Dillon, S. Chusanathas, and K. Barry. 2012. Capturing the Lessons of ASR Failure from Trials in Unconsolidated Aquifers. In Achieving Ground Water Supply Sust"
Global_MAR_Inventory.324,324,POINT (108.312653 11.051604),354,Bau Noi/Hong Phong,Asia,Vietnam,11.051604,108.312653,-9999,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",Lake water,Agricultural,Physical Aquifer Management,"<a href=""http://www.techmonitor.net/tm/images/3/35/08sep_oct_sf3.pdf"" target=""_blank"">Nguyen, Thi Kim Thoa, Giuseppe Arduino, Paolo Bono, Van Giang Nguyen, Thi Kim Van Phan, and Tran Vuong Bui. 2008. “Management of Aquifer Recharge - Groundwater Storag"
Global_MAR_Inventory.325,325,POINT (14.378554 47.99288),355,Rosenau,Europe,Austria,47.99288,14.378554,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Lake water,no data,no data,"<a href=""http://www.geol.lsu.edu/blanford/NATORBF/5%20Modeling%20Papers%20of%20Groundwater%20Flow%20of%20Stream&Aquifer%20Systems/Wett%20et%20al_Hydrolgoy_2002.PDF"" target=""_blank"">Wett, B., Jarosch, H., Ingerle, K., 2002. Flood induced infiltration affe"
Global_MAR_Inventory.326,326,POINT (15.426 47.111),356,Andritz,Europe,Austria,47.111,15.426,1980,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",River water,Domestic,Water Quality Management,"Nickl, Schmölzer, 2008. Projekt KW Stübing der AHP / SSG. Positionspapier GRAZ AG WASSER."
Global_MAR_Inventory.327,327,POINT (16.94 48.12),357,Hainburg,Europe,Austria,48.12,16.94,-9999,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",no data,no data,no data,Personal communication
Global_MAR_Inventory.328,328,POINT (11.404 47.269),358,Höttinger Au,Europe,Austria,47.269,11.404,-9999,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",River water,Domestic,Water Quality Management,"<a href=""https://www.uibk.ac.at/umwelttechnik/teaching/master/da_schoen.pdf"" target=""_blank"">Schön, M., 2006. Systematic Comparision of Riverbank Filtration Sites in Austria and India. FAKULTÄT FÜR BAUINGENIEURWISSENSCHAFTEN, LEOPOLD FRANZENS UNIVERSI"
Global_MAR_Inventory.329,329,POINT (11.344 47.257),359,Ulfiswiese,Europe,Austria,47.257,11.344,-9999,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",River water,Domestic,Water Quality Management,"Grischek, T., Schoenheinz, D., Worch, E., Hiscock, K., 2002. Bank-Filtration in Europe - An overview of Aquifer Conditions and hydraulic Controls, in: Dillon, P. (Ed.), Management of aquifer recharge for sustainabily, p. p. 488."
Global_MAR_Inventory.330,330,POINT (14.286 48.307),360,Urfahr,Europe,Austria,48.307,14.286,-9999,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",River water,Domestic,Water Quality Management,"<a href=""https://www.uibk.ac.at/umwelttechnik/teaching/master/da_schoen.pdf"" target=""_blank"">Schön, M., 2006. Systematic Comparision of Riverbank Filtration Sites in Austria and India. FAKULTÄT FÜR BAUINGENIEURWISSENSCHAFTEN, LEOPOLD FRANZENS UNIVERSI"
Global_MAR_Inventory.331,331,POINT (16.415 48.236),361,Donauinsel Nord,Europe,Austria,48.236,16.415,-9999,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",River water,Domestic,Water Quality Management,"Grischek, T., Schoenheinz, D., Worch, E., Hiscock, K., 2002. Bank-Filtration in Europe - An overview of Aquifer Conditions and hydraulic Controls, in: Dillon, P. (Ed.), Management of aquifer recharge for sustainabily, p. p. 488."
Global_MAR_Inventory.332,332,POINT (16.5 48.174),362,Lobau,Europe,Austria,48.174,16.5,1966,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",River water,Domestic,Management of Water Distribution Systems,"Orlikowski, D.; Weigelhofer, G.; Hein, T., 2006. The impact of river water on groundwater quality in an urban floodplain area, the Lobau in Vienna, 36th International Conference of IAD, Vienna."
Global_MAR_Inventory.333,333,POINT (4.7167 51.2),363,Grobbendonk,Europe,Belgium,51.2,4.7167,1975,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,no data,"Feyen, R., 2001. Site description Grobbendonk, Belgium, Artificial recharge of groundwater EC project ENV4-CT95-0071 - Final report."
Global_MAR_Inventory.334,334,POINT (5.753059 50.69744),365,Torreele/St-Andre ́,Europe,Belgium,50.69744,5.753059,2002,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,Domestic,Water Quality Management,"<a href=""http://msdssearch.dow.com/PublishedLiteratureDOWCOM/dh_053c/0901b8038053c343.pdf?filepath=liquidseps/pdfs/noreg/609-02150.pdf&fromPage=GetDoc"" target=""_blank"">van Houtte, E., Cauwenberghs, J., Weemaes, M., Thoeye, C., 2012. Indirect potable reus"
